"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250701","7호선","가산디지털단지","52318","52503","20250704",""
"20250701","7호선","철산","23320","23797","20250704",""
"20250701","7호선","광명사거리","22710","22490","20250704",""
"20250701","7호선","천왕","13002","12539","20250704",""
"20250701","7호선","온수(성공회대입구)","10823","9607","20250704",""
"20250701","8호선","암사역사공원","7290","6405","20250704",""
"20250701","8호선","암사","17606","16360","20250704",""
"20250701","8호선","천호(풍납토성)","18349","20376","20250704",""
"20250701","8호선","강동구청","12029","12195","20250704",""
"20250701","8호선","몽촌토성(평화의문)","7897","8013","20250704",""
"20250701","8호선","잠실(송파구청)","19573","22486","20250704",""
"20250701","8호선","석촌","9266","10252","20250704",""
"20250701","8호선","송파","10956","10837","20250704",""
"20250701","8호선","가락시장","9147","9933","20250704",""
"20250701","8호선","문정","26488","27837","20250704",""
"20250701","8호선","장지","18817","17419","20250704",""
"20250701","8호선","복정","10428","9040","20250704",""
"20250701","8호선","산성","6708","6860","20250704",""
"20250701","8호선","남한산성입구(성남법원.검찰청)","13485","12213","20250704",""
"20250701","8호선","단대오거리","12833","12527","20250704",""
"20250701","8호선","신흥","5575","5700","20250704",""
"20250701","8호선","수진","5890","5529","20250704",""
"20250701","8호선","모란","5143","4022","20250704",""
"20250701","8호선","남위례","8317","8144","20250704",""
"20250701","9호선","개화","2942","1963","20250704",""
"20250701","9호선","김포공항","6462","10895","20250704",""
"20250701","9호선","공항시장","3142","3324","20250704",""
"20250701","9호선","신방화","7781","7687","20250704",""
"20250701","9호선","마곡나루(서울식물원)","16086","15734","20250704",""
"20250701","9호선","양천향교","11690","12077","20250704",""
"20250701","9호선","가양","24391","24157","20250704",""
"20250701","9호선","증미","9418","9331","20250704",""
"20250701","9호선","등촌","14332","13847","20250704",""
"20250701","9호선","염창","19407","18525","20250704",""
"20250701","9호선","신목동","5286","4897","20250704",""
"20250701","9호선","선유도","10520","9801","20250704",""
"20250701","9호선","당산","20773","20176","20250704",""
"20250701","9호선","국회의사당","20404","21371","20250704",""
"20250701","9호선","여의도","35615","34538","20250704",""
"20250701","9호선","샛강","7474","7636","20250704",""
"20250701","9호선","노량진","26930","26313","20250704",""
"20250701","9호선","노들","5505","4543","20250704",""
"20250701","9호선","흑석(중앙대입구)","9638","10102","20250704",""
"20250701","9호선","동작(현충원)","1914","1651","20250704",""
"20250701","9호선","구반포","2296","2124","20250704",""
"20250701","9호선","신반포","5443","5015","20250704",""
"20250701","9호선","고속터미널","15292","19259","20250704",""
"20250701","9호선","사평","4694","4643","20250704",""
"20250701","9호선","신논현","32967","32967","20250704",""
"20250701","9호선2~3단계","언주","13241","13487","20250704",""
"20250701","9호선2~3단계","선정릉","11967","12594","20250704",""
"20250701","9호선2~3단계","삼성중앙","9475","9890","20250704",""
"20250701","9호선2~3단계","봉은사","23285","24065","20250704",""
"20250701","9호선2~3단계","종합운동장","5787","5897","20250704",""
"20250701","9호선2~3단계","삼전","9059","8704","20250704",""
"20250701","9호선2~3단계","석촌고분","7977","7827","20250704",""
"20250701","9호선2~3단계","석촌","10128","9250","20250704",""
"20250701","9호선2~3단계","송파나루","6465","6972","20250704",""
"20250701","9호선2~3단계","한성백제","3555","3155","20250704",""
"20250701","9호선2~3단계","올림픽공원(한국체대)","6631","6984","20250704",""
"20250701","9호선2~3단계","둔촌오륜","5172","5040","20250704",""
"20250701","9호선2~3단계","중앙보훈병원","15109","13124","20250704",""
"20250701","경강선","판교","6333","6400","20250704",""
"20250701","경강선","이매","1145","1010","20250704",""
"20250701","경강선","삼동","2725","2421","20250704",""
"20250701","경강선","경기광주","8439","7926","20250704",""
"20250701","경강선","초월","4008","3742","20250704",""
"20250701","경강선","곤지암","2228","2146","20250704",""
"20250701","경강선","신둔도예촌","1466","1523","20250704",""
"20250701","경강선","이천","2843","2916","20250704",""
"20250701","경강선","부발","2329","2367","20250704",""
"20250701","경강선","세종대왕릉","316","336","20250704",""
"20250701","경강선","여주","2622","2692","20250704",""
"20250701","경강선","성남","1378","1180","20250704",""
"20250701","경부선","서울역","7602","3164","20250704",""
"20250701","경부선","남영","9694","10049","20250704",""
"20250701","경부선","용산","39134","40392","20250704",""
"20250701","경부선","노량진","7757","7855","20250704",""
"20250701","경부선","대방","11039","12363","20250704",""
"20250701","경부선","영등포","40824","40953","20250704",""
"20250701","경부선","신도림","3966","4270","20250704",""
"20250701","경부선","신길","9347","8266","20250704",""
"20250701","경부선","구로","18229","18497","20250704",""
"20250701","경부선","가산디지털단지","20574","23711","20250704",""
"20250701","경부선","금천구청","11448","11609","20250704",""
"20250701","경부선","석수","8625","7860","20250704",""
"20250701","경부선","관악","7338","7153","20250704",""
"20250701","경부선","안양","22350","21918","20250704",""
"20250701","경부선","명학","9172","9022","20250704",""
"20250701","경부선","금정","29348","30001","20250704",""
"20250701","경부선","군포","7701","7622","20250704",""
"20250701","경부선","의왕","9284","9321","20250704",""
"20250701","경부선","성균관대","15114","14626","20250704",""
"20250701","경부선","화서","10912","10617","20250704",""
"20250701","경부선","수원","34210","35868","20250704",""
"20250701","경부선","독산","18368","18797","20250704",""
"20250701","경부선","세류","3374","3123","20250704",""
"20250701","경부선","병점","14545","14426","20250704",""
"20250701","경부선","세마","3359","3193","20250704",""
"20250701","경부선","오산대","3811","3467","20250704",""
"20250701","경부선","오산","9585","9749","20250704",""
"20250701","경부선","진위","1776","1688","20250704",""
"20250701","경부선","송탄","4206","4055","20250704",""
"20250701","경부선","서정리","7794","7302","20250704",""
"20250701","경부선","평택지제","4061","3879","20250704",""
"20250701","경부선","평택","11157","11101","20250704",""
"20250701","경부선","성환","3830","3708","20250704",""
"20250701","경부선","직산","1084","982","20250704",""
"20250701","경부선","두정","6372","6457","20250704",""
"20250701","경부선","천안","5526","5685","20250704",""
"20250701","경부선","당정","6229","5976","20250704",""
