시군구,단지명,전용면적(㎡),거래금액(만원),층,건축년도,도로명
인천광역시 미추홀구 용현동,인천 SK Sky VIEW,59.9936,"49,400",10,2016,용정공원로 33
서울특별시 노원구 중계동,중계무지개,59.26,"58,000",4,1991,동일로208길 19
부산광역시 연제구 거제동,유림아시아드,146.1027,"51,000",16,2001,해맞이로 23
부산광역시 북구 구포동,리버파크반도유보라,39.795,"22,500",14,2021,백양대로 1136
광주광역시 서구 풍암동,중흥아파트,84.99,"25,000",15,2000,풍암순환로 112
서울특별시 영등포구 여의도동,광장,117.36,"350,000",11,1978,여의나루로 7
서울특별시 성북구 정릉동,정릉풍림아이원,114.75,"75,000",18,2005,솔샘로25길 28
부산광역시 동래구 온천동,온천동유림노르웨이숲,68.9367,"32,700",4,2018,중앙대로 1453
부산광역시 동래구 온천동,동래3차SKVIEW,84.816,"56,000",17,2021,온천장로65번길 9
대구광역시 북구 구암동,칠곡동서영남,59.84,"13,600",6,1995,구암로 180
부산광역시 연제구 연산동,힐스테이트연산,74.6718,"56,300",5,2021,봉수로 2
경기도 수원시 영통구 영통동,청명마을삼성,164.947,"88,000",7,2001,청명북로 33
부산광역시 연제구 연산동,연산더샵,39.9681,"25,000",11,2019,연수로 130
경기도 수원시 영통구 영통동,벽적골우성,59.84,"48,000",12,1998,영통로 232
광주광역시 서구 화정동,더샵염주센트럴파크,76.9341,"57,900",23,2022,월드컵4강로 27
광주광역시 북구 각화동,글로벌,134.25,"35,000",6,2003,월동로 88
경기도 수원시 영통구 매탄동,성일,49.68,"25,900",12,1989,인계로 239
경기도 수원시 영통구 원천동,주공,41.3,"33,500",1,1987,중부대로271번길 27-9
대전광역시 유성구 봉산동,유성대광로제비앙아파트,84.9147,"39,700",2,2022,와룡로 206
대구광역시 수성구 사월동,태왕리더스,84.93,"25,000",6,2004,달구벌대로669길 70
대구광역시 동구 봉무동,대구이시아폴리스더샵3차,65.92,"30,000",12,2013,팔공로51길 10
광주광역시 광산구 운남동,운남주공7단지,49.83,"10,800",1,2001,목련로153번길 56
광주광역시 광산구 운남동,운남주공3단지,37.67,"10,100",8,1996,목련로 307-11
울산광역시 울주군 청량읍 상남리,덕하상남지구골드클래스,74.9357,"30,000",2,2017,상남길 25
